Copy of Google spreadsheet


	translit	ipa	type	name	native name	number value	
Russian							
а	a	a	vowel	a	а		
б	b	b,bʲ	consonant	bɛ	бэ		
в	v	v,vʲ	consonant	vɛ	вэ		
г	g	ɡ,ɡʲ	consonant	ɡɛ	гэ		
д	d	d,dʲ	consonant	dɛ	дэ		
е	e	je,ʲe,e	vowel	je	е		
ж	zh	ʐ	consonant	ʐɛ	жэ		
з	z	z,zʲ	consonant	zɛ	зэ		
и	i	i,ʲi,ɨ	vowel	i	и		
й	ĭ	j	vowel	i ˈkratkəjɪ	и краткое		
к	k	k,kʲ	consonant	ka	ка		
л	l	ɫ,lʲ	consonant	ɛlʲ	эль		
м	m	m,mʲ	consonant	ɛm	эм		
н	n	n,nʲ	consonant	ɛn	эн		
о	o	o	vowel	o	о		
п	p	p,pʲ	consonant	pɛ	пэ		
р	r	r,rʲ	consonant	ɛr	эр		
с	s	s,sʲ	consonant	ɛs	эс		
т	t	t,tʲ	consonant	tɛ	тэ		
у	u	u	vowel	u	у		
ф	f	f,fʲ	consonant	ɛf	эф		
х	kh	x,xʲ	consonant	xa	ха		
ц	ts	ʦ	consonant	ʦɛ	цэ		
ч	ch	ʨ	consonant	ʨɛ	чэ		
ш	sh	ʂ	consonant	ʂa	шæ		
щ	shch	ɕɕ,ɕʨ	consonant	ɕɕæ	ща		
ъ	ʺ		hard sign	tvʲɵrdɨj znak	твёрдый знак		
ы	y	ɨ	vowel	ɨ	ы		
ь	ʹ	ʲ	soft sign	ˈmʲæxʲkʲɪj znak	мягкий знак		
э	ė	ɛ	vowel	ɛ	э		
ю	i͡u	ju	vowel	ju	ю		
я	i͡a	ja	vowel	ja	я		
							
Extended letters							
ӑ			vowel				
ӓ			vowel				
ӕ			vowel				
ӗ			vowel				
ѐ			vowel				
ё	ē	jo,ʲo	vowel	ё	jo		
ә			vowel				
ӛ			vowel				
і			vowel				
ї			vowel				
ѝ			vowel				
ҋ			vowel				
ӣ			vowel				
ӥ			vowel				
ӧ			vowel				
ө			vowel				
ӫ			vowel				
ӯ			vowel				
ӱ			vowel				
ӳ			vowel				
ў			vowel				
ү			consonant				
ұ			consonant				
ӹ			vowel				
є			consonant				
ӭ			vowel				
ѓ			consonant				
ґ			consonant				
ғ			consonant				
ӷ			consonant				
ҕ			consonant				
җ			consonant				
ӂ			consonant				
ӝ			consonant				
ҙ			consonant				
ӟ			consonant				
ӡ			consonant				
ќ			consonant				
қ			consonant				
ҝ			consonant				
ҟ			consonant				
ҟ			consonant				
ӄ			consonant				
ӆ			consonant				
љ			consonant				
ӎ			consonant				
њ			consonant				
ң			consonant				
ҥ			consonant				
ӈ			consonant				
ӊ			consonant				
һ			consonant				
ћ			consonant				
ђ			consonant				
ҧ			consonant				
ҏ			consonant				
ҫ			consonant				
ҽ			consonant				
ҿ			consonant				
ҭ			consonant				
ҵ			consonant				
џ			consonant				
ѕ			consonant				
ј			consonant				
