A - a

a kind of bird	कंचर गाड्‍दी
a kind of tree	आरे मरा
a little	इच्‍चुक
a rare variety of bird	पेग्‍गेरी
a type of fish(which will bite)	इंगिल्‍केम
a.bird	पद्दुसुल
a.kind.of.alloy	अब्रक
a.kind.of.bird	उम्मादामा
·	पिकलोडी
·	समुरगाकी
·	साकलेंकी
·	सिकुड पिट्टे
·	सुय पिट्टे
a.kind.of.fish	उस्‍के रुद्दे
·	कोनम बाम
·	नारेंगा
·	वाडी जिम्मा
·	सोप्‍पा बेंड
a.kind.of.hen	सीमा कोर्रु
a.kind.of.insect	सीडा पुडी
a.kind.of.poisonous.snaka	रक्‍त पेंजेर
a.kind.of.snake	वाना कोगिल
a.kind.of.stork	गुड्डी कोंगा
a.little	गिचचो
a.type.of.scorpion	आकी मिच्‍चो
able (to be)	सक्‍ती
about.to.lay.eggs	मेसकुंक वायमड़
abuse	रांगमड़
abuse (term of)	रांडे
abusive word	सेड्डा मनकल
ache	नोप्‍पी
acquire	कमय कियमड़
across	अड्डम
active (become)	हुसार आयमड़
acts of fun	कवना उपायाल्‍क कियमड़
adequate	पुर्ता
adulterated (liquid)	पातूर
advocate	वकीलु
affected.with.mucal.nose	सिमीडी पियमड़
afraid (to be)	वेर्रे
after	आयंका
·	पज्‍जा/पज्‍जो
after.birth	माय अरमड़
afternoon	पोड्‍द तिरियतंका
afternoon (in the)	पिय्यल
afterwards	मर्रा
again	मर्रा
aging of skin	तोल मुदुरमड़
agree	ओप्‍पुकुन्‍मड़
agricultural ceremony	नोव्‍वां(उंदि पंडुंगुना पोरोल)
·	विज्‍जा पंडुग
agricultural implement	पल्‍गु
·	हेटेड
agricultural.land	पंटा तेंडना बूमी
Aheri.village	अहेरी
air	वड़ी
alight	रेय्युडु
all (m.)	बोत्तिटोर
all (nm.)	अन्नि
all at once	वर्सगा
all day long	पिय्यल-पोड्‍द
all kinds of	रक-रकाल्‍क/तीर-तीर्क्‌ना
all night long	नर्का पडिं
allow	हिय्युडु
almirah	आवल्मरि
alone (m.)	वरोर(म.)
alone (nm.)	उंदे(मु.)
along.the.river	कुडेह्‍कुन पीसि
along.the.stream	ओर्रेन पीसि
along.the.wall	लोहकुने गूरें पिसी मनना
alphabet	अक्‍सरम
also	इंका
·	मर्रा
altar	पट्टु
although	तेर
Aluminium	बुग्‍गेंडी
aluminium.alloy	पाला कंचु
among	नड्डुम
ample	आंता
ancestors	तादो बाबल
ancient times	तोल्ले-जमानाते
and	अनि
·	मर्रा
and then	मर्रा
Andhra	आंद्रा
animal bell	लूंगुर
animal droppings	हडपी कुप्‍पा
animal enclosure	दोड्डी
animal feed (grass)	मॆता(पशुल्‍कुंक)
animal shelter	कोड़का
animal's muzzle	मुस्‍का बुट्टी
animal's thigh	पसूल्‍कुना तोडा
animals	जिवराशीं
animals (for sacrifice)	जड़ता पीयना पोतु
ankle	कील बोक्‍का
·	गुट्टी
ankle bell (large)	गंटा
ankle bell (small)	गज्‍जे
anklet (bangle)	कडियाल्‍क
anklet (chain)	काल्‍कुना गोल्‍सु
announce	नार हाटमड़
annually	एड़ादिक उंदिमल्‍का
another	वॆरे
answer	जवाब
·	जवाब हियमड
ant	पेत्ते
ant (black)	कर्रे पेत्ते
ant (flying kind)	ईसुल
anthill	पुत्ती
anus	पॆंडा
anvil	डाकाली
any (nm.)	बद
anybody (m.)	बोरो
anybody (nm.)	बद्दना
anything	बतलो
·	बातल इत्ते अद
anything (nm.)	बद्दना
anytime	बस्‍केळ्‍क
anywhere	बगनना
appear	दिस अरमड़
apply	दोसमड़
·	मिड्‍स्मड़
apply.medicine	मत्तु होकमड़
applying.grease.to.bullock.cart	कंदेन तासमड़
appoint	मुक्राड-की-
argue	उर्रे अरमड़
argument	जगडम
arm	दंडा
armpit	संका
around	सुटुरगा
arrange (to)	सजांच्मड़
arranged (to be)	मुक्राड-आ-
arrogant person	सेड्डा मनकल
arrow	कॊला
·	बानम
·	बानम पुल्‍ला
as....so.…	अहन बहन
ascend	एक्‍किस होनमड़
ash	बूडदी
ash tree	बिबूत (मर्रा)
ashamed (be)	सिग्‍गु अरमड़
ask	पूस कियमड़
assemble	रह-
astonished (be)	वेरियमड
astrology	पंचांगम
at first	मोदगाला
at night	नर्का
at the same time	वर्सगा
atmosphere	वातावरणम
attach	अंटकुन्‍मड
·	अंटावाटमड
attempt	कोसिस कियमड़
attic	अट्‍कु
attorney	वकीलु
aunt (maternal)	यायाल(सिन्नी)
awake	तेल्‍विते
·	पालान-की-
axe	मरसू
axle	इर्सू
axle bolt	सीला
ayurvedic practitioner	पुजरि
ayurvedic.medicine	मराकुना मत्तु


B - b

babul tree	तुम्मा मर्रा
·	दंते मरा
baby.of.donkey	गाड्‍दी पोरी
bachelor	मरमीं आयवा पोरी
back (of body)	मॆंदुल्‍ता पजोटा बागम
back.side.of.house	लॊता पज्‍जो
backbone	वेनबोक्‍का
backside.of.house	सूरपंचा
backyard	लोता सुटुना जॆगा
bad	कराब
·	कराबतद
bad person	सेड्डा मनकल
bag	जोरा
·	पॊता
bake	हारीं कियमड़
bald	बोड़कल
bald, shaven-headed	बोड़ागुंडु
bale out	तोरुड़
ball	सेंडि
balloon	बुग्गा
Balsam pear gourd	कारले काया
bamboo (thick)	मरगोली
bamboo (thin variety)	कंका
bamboo mat (for covering)	पिडपू
bamboo matting	गलमा पिड़पू
bamboo stick	दुड्डु
bamboo strip (thick)	बद्दा
bamboo strip (thin)	बेरे
banana	अर्टी पंडी
bandicoot	गूसी
bangle	कडियाल्‍क
bangle (glass)	गाजी
bangle (thick)	हेनुम
bangle.aluminium	दंडेगड़ेम
Banjara (f.)	लंबडदि
Banjara (m.)	लंबाडोड़(म.)
bank	ओड्डू
banyan tree	मर्री मरा
barber	मंगलल
barber's razor	मज्‍जे
bare	लंग्याल
bark (to)	मुच्‍हूड
bark (tree)	तॊल
bark for rope making	मुर्रु वॆली
barking.of.animals	बुंकमड़
barley	बरली
barrel (of gun)	नडी
barren	लंग्याल
barren area	पडित जेगा
barrister	वकीलु
basket (kind of)	टोकेरा
·	डाला
·	तट्टा
·	हड्‍पी तट्टा
basket (small)	अंचे
bat (mammal)	गबिलेंका पिटे
bathe	एर तुंगुंड
·	तुंगुमड
bathroom	एरतुंगंना कॊली
Bathroom	बातरुम
battle	लडायि
bazaar	जातरा
be (to)	मन्नु
be alone, lonely	उंदी-उंदी मन्‍मड़
be together in one place	उंदे जॆगाते आयमड़
be.affected.by.magic/medicine	पारमड
be.in.a.group	गुंपु-गुंपु मन्‍मड़
be.in.flock	कतपुने मन्‍मड
be.in.forest	केडाते मनमड
be.in.pairs	जोडीं-जोडीं मनमड़
be.in.shadow	नीडाते कलियसि मनुमड़
be.in.water	एते मन्‍मड
be.on.empty.stomach	बतले तिनाकोंटा मनमड़
be.pregnant	पीर आयमड़
·	बोत्ता आयमड़
be.without.drink.water	एर उनाकोंटा मनमड़
bead	बिर्डा
·	मडी
beak	तोड्डि
beam	कन्‍ड्ररां
·	वासा
beam (main)	एनागरा वासम
bean (kind of)	कोर्री
·	गोरु सिक्‍कुड काया
·	जाटा
bean pods (kind of)	कोर्री काया
bear	एड्‍जू
bear's cave	एड्‍जू पड़ा
beard	दाडी
beast	मनबोतू
beat	कोह्‍का
beat (heart)	डकडक आयमड़
·	दुन्‍कुमड़
beating	देब्‍बा
beautiful	पिव्‍वर
·	सादा-सिंपल
·	सोक
because	बारी इत्ते
become	आ-
become cool	सल्‍लगा आयमड़
become.healthy	बेस आम
bed	कटूल
bee (kind of)	कांडोल वीसि
·	बोंगोर वीसि
bee sting	हापू
bee.wax	मैदम
beehive	कांडोल
·	तॆने तेट्टे
before	मुन्ने
·	मोदगाला
·	मोदोल
beg	तल्कमड़
beggar (f.)	बिच्‍चेम्‍दी
beggar (m.)	बिच्‍चागाड
begin	मूता तेंडमड़
·	सुरुव कियमड़
beginning	मोदोल
behera tree	गोट्टे मरा
behind	पज्‍जा/पज्‍जो
·	पज्‍जो
behind.the.rock	बंडा साट
behind.tree	मरा साट
belch	गॆर्का
believe	विस्वास कियमड़
bell (ankle)	गज्‍जे
bell (for animals)	लूंगुर
bell (kind of)	जुम्‍का
·	बोंड़ंगा
bell (small)	गंटा
bellow	नोह्क-
bellybutton	बोड्डु
belt	पट्टा
belt (peacock feather)	मल्‍लिका
bench	कुत्तूल
bend	वंगुडु
·	वरहुमड़
Bengal gram	हडिया
bent	बाग्डियाल
·	वाक्डाल
betel leaf	पान आकी
betrothal ceremony	लग्निंग
bhilwa tree	कोह्का मरा
Bicycle	सायकल
big (m.)	पेद्दोड
big (nm.)	पेद्दा
big.basket	पेद्दा टोकेरा
big.butterfly	पेदा पापेर
big.hammer	गन्नु
big.rat	पंदिकोक
big.storage.basket	गुम्मी
big.wild.spider	केडा बल्‍ली
bind	दोहमड़
bird (generic)	पिट्टे
bird (kind of)	कर्रे पिट्टे
·	कोंगा
·	गुव्‍वा
·	गोपेरा (पिट्टे)
·	जकोर पिट्टे
·	टिटिटो पिट्टे
·	पाला पिट्टे
·	पावरेम(उंदि पिट्टे)
·	पुराड-देगो (पिट्टे)
bird (part of)	गुदापुट्टी
bird with long feathers	तोका पिट्टे
bird(male)	पोतु पिट्टे
birds (flock)	कत्‍पु
birds (generic)	पुरोड पिट्टे
birth	पुट्कु
·	पुट्मड़
birth (animals, to give)	वहुडु
birthmark	पुट्टु मच्‍चा
bison	गुरगोड्डु
bison (?)	केडा बर्रे
bite	कस्‍कुड
·	कोर्कुड
·	हंदी
bite off	पल्कुने कोरकुमड़,
bitter (in taste)	कय्मूल
bitter (to taste)	सेदू
bitter gourd	तॆरे काया
black	कर्रे रंगु
·	नल्‍ला रंगु
black crene	कर्रे कोंगा
black gum	नल्‍ला बंका
black pearl	जिट्टी पूसा
black soil	कर्रे तोडी
black.chicken	कर्रे कोर्रु पोरी
black.cobra	नल्‍ला दास
black.crocodile	कर्रे मग्‍गुर
black.lizard	कर्रे डोक्‍के
black.mud	नल्‍ला मन्‍नु
black.pearl	कर्रे पूसा
black.scorpion	कर्रे मिच्‍चो
black.spider	कर्रे बल्‍ली
black-faced monkey	गड्डी मूंजु
blackish	कर्रेगा
blacksmith	कम्मरि
blade	पत्ती
blade (agricultural)	पल्‍गु
blade (razor)	मज्‍जे
bland	सप्‍पगा
blanket (decorative)	बर्रे बूराताल तयार कीता बिलांकेट
blanket (for indoors)	गोंगोडि
blaze	पोत्तुडु
blind	गुड्डि
bloated due to indigestion (be)	मुस्डेर्का-पी
block (to)	बंद कियमड़
